Bubere   A,2001,Mumias,East Wanga,East Wanga,Bumini
Bubere   B,2002,Mumias,East Wanga,East Wanga,Bumini
Bulechia  B,2003,Mumias,East Wanga,East Wanga,Bumini
Bumini A,2004,Mumias,East Wanga,East Wanga,Bumini
Emanyasa  A,2005,Mumias,East Wanga,East Wanga,Bumini
Emanyasa  B,2006,Mumias,East Wanga,East Wanga,Bumini
Emulambo,2007,Mumias,East Wanga,East Wanga,Bumini
Emusirasire,2008,Mumias,East Wanga,East Wanga,Bumini
Esukura,2009,Mumias,East Wanga,East Wanga,Bumini
Musangaro  A,2010,Mumias,East Wanga,East Wanga,Bumini
Mwirache,2011,Mumias,East Wanga,East Wanga,Bumini
Bulechia,2012,Mumias,East Wanga,East Wanga,Mung'Ang'A
Buloma  A,2013,Mumias,East Wanga,East Wanga,Mung'Ang'A
Buloma  B,2014,Mumias,East Wanga,East Wanga,Mung'Ang'A
Buloma  C,2015,Mumias,East Wanga,East Wanga,Mung'Ang'A
Bung'Ale,2016,Mumias,East Wanga,East Wanga,Mung'Ang'A
Khabale,2017,Mumias,East Wanga,East Wanga,Mung'Ang'A
Lunyiko,2018,Mumias,East Wanga,East Wanga,Mung'Ang'A
Mukhweso,2019,Mumias,East Wanga,East Wanga,Mung'Ang'A
Mung'Ang'A,2020,Mumias,East Wanga,East Wanga,Mung'Ang'A
Mwikali,2021,Mumias,East Wanga,East Wanga,Mung'Ang'A
Ebusalisi,2022,Mumias,East Wanga,Isongo,Isongo
Ekarungu  A,2023,Mumias,East Wanga,Isongo,Isongo
Ekarungu  B,2024,Mumias,East Wanga,Isongo,Isongo
Elukuto,2025,Mumias,East Wanga,Isongo,Isongo
Emabanga,2026,Mumias,East Wanga,Isongo,Isongo
Emungabo,2027,Mumias,East Wanga,Isongo,Isongo
Eshibale,2028,Mumias,East Wanga,Isongo,Isongo
Eshisenye  A,2029,Mumias,East Wanga,Isongo,Isongo
Eshisenye  B,2030,Mumias,East Wanga,Isongo,Isongo
Isongo,2031,Mumias,East Wanga,Isongo,Isongo
Mlimani,2032,Mumias,East Wanga,Isongo,Isongo
Mushiibi,2033,Mumias,East Wanga,Isongo,Isongo
Mushikulu,2034,Mumias,East Wanga,Isongo,Isongo
Nyapolo,2035,Mumias,East Wanga,Isongo,Isongo
Ebusokho,2036,Mumias,East Wanga,Isongo,Khaimba
Ebutingo,2037,Mumias,East Wanga,Isongo,Khaimba
Ematetie,2038,Mumias,East Wanga,Isongo,Khaimba
Emukhalari,2039,Mumias,East Wanga,Isongo,Khaimba
Emusoma,2040,Mumias,East Wanga,Isongo,Khaimba
Emutetemo  A,2041,Mumias,East Wanga,Isongo,Khaimba
Emutetemo  B,2042,Mumias,East Wanga,Isongo,Khaimba
Eshiakhulo  A,2043,Mumias,East Wanga,Isongo,Khaimba
Eshiakhulo  B,2044,Mumias,East Wanga,Isongo,Khaimba
Eshirulo,2045,Mumias,East Wanga,Isongo,Khaimba
Eshisari,2046,Mumias,East Wanga,Isongo,Khaimba
Musambatsa,2047,Mumias,East Wanga,Isongo,Khaimba
Mutemesi,2048,Mumias,East Wanga,Isongo,Khaimba
Ebokhobero,2049,Mumias,East Wanga,Makunga,Makunga
Emuyere,2050,Mumias,East Wanga,Makunga,Makunga
Eshiaka,2051,Mumias,East Wanga,Makunga,Makunga
Eshiakulo,2052,Mumias,East Wanga,Makunga,Makunga
Ikoli  A,2053,Mumias,East Wanga,Makunga,Makunga
Ikoli  B,2054,Mumias,East Wanga,Makunga,Makunga
Isango,2055,Mumias,East Wanga,Makunga,Makunga
Makinga  B,2056,Mumias,East Wanga,Makunga,Makunga
Makunga  A,2057,Mumias,East Wanga,Makunga,Makunga
Makunga  Township,2058,Mumias,East Wanga,Makunga,Makunga
Mulwanda,2059,Mumias,East Wanga,Makunga,Makunga
Mwitawa,2060,Mumias,East Wanga,Makunga,Makunga
Emukokongo,2061,Mumias,East Wanga,Makunga,Maraba
Eshiabaka,2062,Mumias,East Wanga,Makunga,Maraba
Maraba A,2063,Mumias,East Wanga,Makunga,Maraba
Mumasaka,2064,Mumias,East Wanga,Makunga,Maraba
Munjomi,2065,Mumias,East Wanga,Makunga,Maraba
Musango,2066,Mumias,East Wanga,Makunga,Maraba
Mutono,2067,Mumias,East Wanga,Makunga,Maraba
Mwichinga,2068,Mumias,East Wanga,Makunga,Maraba
Mwitwa,2069,Mumias,East Wanga,Makunga,Maraba
Shibembe,2070,Mumias,East Wanga,Makunga,Maraba
